"מזהה","עדיפות","נושא","סוג ראיה","שלב ראשי","אחריות מוצעת","תלויות","היקף יחסי","תיקון מוצע","קריטריון סיום","מקורות","סטטוס"
"A01","P1","מעבר לסיכום מאבד את השינויים האחרונים","שוחזר","1","Frontend / State","","M","מסמך תכנון משותף, סימון שינויים שלא נשמרו, שמירה לפני מעבר עם טיפול בכישלון, ושחזור טיוטה.","שינוי → סיכום → חזרה → רענון שומרים על אותו רוחב; כישלון אחסון אינו מאבד את המצב.","C:/Users/yosi/Downloads/DFDF/src/apartment/PlannerApp.tsx:903 | C:/Users/yosi/Downloads/DFDF/src/site/pages/SummaryPage.tsx:49 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — שמירה אטומית, autosave, התאוששות והגנת יציאה"
"A02","P1","סיכום חלקי שאינו משקף את התכנון","שוחזר","1","Frontend / State","A01","M","להפיק סיכום מאותה גרסת מסמך: נגרות, ריהוט, פריטים מוסתרים והסבר משמעות ההסתרה, מידות, מיקום, חומרים, הערות ואי־ודאות.","לכל פריט במסמך יש ייצוג בסיכום או סיבה גלויה להחרגתו.","C:/Users/yosi/Downloads/DFDF/src/site/pages/SummaryPage.tsx:52 | C:/Users/yosi/Downloads/DFDF/src/apartment/PlannerApp.tsx:589 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — סיכום מאותו מסמך כולל ריהוט, הסתרה והערות"
"A03","P1","מחיצות אמצע אינן תואמות לחלקי המדפים","פלט המנוע שוחזר","4","Engine + נגר","","L","להכריע בשיטת בנייה: מדפים מחולקים לתאים או מחיצה מחולקת עם חיבור מתאים. לגזור ממנה אורכים, כמויות, קידוחים, הרכבה והדמיה.","חלקים שאפשר להרכיב פיזית, בלי חפיפה, עם חישוב שקיעה לפי המפתח האמיתי.","C:/Users/yosi/Downloads/DFDF/src/engine/dimensions.ts:34 | C:/Users/yosi/Downloads/DFDF/src/engine/parts.ts:178 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — מדפים לכל תא, כמויות ומפתח שקיעה; בדיקת חפיפות פיזיות"
"A04","P1","ארונות על קירות ניצבים יכולים לחפוף","שוחזר","2","Geometry","","M","בדיקת מעטפת בין כל הארונות בחדר, כולל פינות, זוויות והפרדה בגובה.","ההצבה השנייה נדחית עם סימון האזור והצעת מיקום תקין, והבדיקה פועלת גם בעריכה, שחזור וייבוא.","C:/Users/yosi/Downloads/DFDF/src/apartment/geometry/intervals.ts:107 | C:/Users/yosi/Downloads/DFDF/src/apartment/cabinet/adapter.ts:76 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — בדיקת התנגשות מרחבית בין כל ארונות החדר"
"A05","P1","ארון יכול לצאת מגבולות החדר","שוחזר","2","Geometry","A04","M","validator אחד לכל מעטפת ההצבה: רצפה, קירות, עמודים, פירים, קבועות ותחום גובה.","אי אפשר ליצור או לשמור ארון החורג מהמעטפת המאומתת; מידות לא ידועות מדווחות במפורש.","C:/Users/yosi/Downloads/DFDF/src/apartment/cabinet/adapter.ts:76 | C:/Users/yosi/Downloads/DFDF/src/apartment/PlannerApp.tsx:548 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — הכלת המעטפת ובדיקת קבועות וגובה ידוע"
"A06","P1","בדיקת פנים חדר אינה תקינה לכל מצולע קעור","שוחזר","2","Geometry","","M","הכלת מצולע מלאה באמצעות חיתוך צלעות/חיסור שטחים, עם tolerance אחיד ביחידות המודל.","בדיקות L/U, קירות אלכסוניים, מגע בגבול, צלעות קצרות ופריטים מסובבים.","C:/Users/yosi/Downloads/DFDF/src/apartment/geometry/scene-collision.ts:79 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — הכלה במצולע קעור ובדיקת חיתוך צלעות"
"A07","P2","בדיקת פתחים ומרחבי שימוש מוגבלת","ממצא קוד","2","Geometry + UX","A04,A05,A06","L","מעטפת גוף ומעטפת שימוש נפרדות, טווחי גובה, וסטטוס ״לא ניתן לקבוע״ כשהמקור חסר.","בדיקות לחלון מעל ארון נמוך, ארון עליון, מגירה מול מיטה ופתחים מיובאים שלא אומתו. ספים מקצועיים ייקבעו עם איש מקצוע.","C:/Users/yosi/Downloads/DFDF/src/apartment/geometry/intervals.ts:42 | C:/Users/yosi/Downloads/DFDF/src/apartment/geometry/scene-collision.ts:132 | C:/Users/yosi/Downloads/DFDF/src/apartment/import/model.ts:36","חלקי — מעטפות לכל חזית וגובה, קשתות 90 מעלות ותנועת מגירה; נדרש אימות פרזול וספי שימוש"
"A08","P1","ייבוא PDF מערבב עמודים","שוחזר","3","Import","","M","בחירת עמוד ומעקב אחר עץ הדפים, Contents ו־Resources; עד השלמה, לדחות בבירור מסמכים מרובי עמודים.","עמוד ראשון אינו מכיל אף פריט מהשני, כולל בדיקות Form XObject וסיבוב.","C:/Users/yosi/Downloads/DFDF/src/apartment/import/pdf-vector-parser.ts:318 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes.json","תוקן — דחייה מפורשת של PDF רב-עמודים ו-Form מקונן"
"A09","P2","שני מסלולי PDF בעלי יכולות שונות","שוחזר חלקית","3","Import","A08","L","לאחד את שני הממשקים לצינור ייבוא אחד, עם קלט בינארי, מגבלות פענוח, ביטול, Worker ואותו מילון מצבים.","אותו קובץ נותן אותן ראיות ואותן מגבלות מכל נקודת כניסה.","C:/Users/yosi/Downloads/DFDF/src/apartment/import/pdf-import.ts:50 | C:/Users/yosi/Downloads/DFDF/src/apartment/import/pdf-vector-parser.ts:231 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes-2.json","תוקן — שירות בינארי משותף, Worker, מגבלות וביטול"
"A10","P1","חומרים מותאמים אינם עוברים למנוע","שוחזר","4","Engine / State","","M","הקשר חומרים מפורש ומשותף לכל החישובים, ה־Workers והשמירות.","חומר חדש בעובי 19 מ״מ משפיע באופן עקבי על המידות, החיתוך, המחיר והייצוא, ונשמר בייבוא/ייצוא בין מכשירים.","C:/Users/yosi/Downloads/DFDF/src/components/configurator/MaterialSelector.tsx:32 | C:/Users/yosi/Downloads/DFDF/src/store/cabinet-store.ts:210 | C:/Users/yosi/Downloads/DFDF/src/engine/parts.ts:16 | C:/Users/yosi/Downloads/DFDF/docs/audits/2026-09-09/evidence/probes-2.json","תוקן — חומר מותאם נשמר ומועבר למנוע ולייצוא"
